claim_id,paper_key,kind,label,line_start,next_line_start,n_deps,deps,n_unresolved_refs,unresolved_refs,region_chars,used_by_count,deps_str,unresolved_refs_str
GLC2:remark:r:ignore ren Rep L+G for ^*,GLC2,remark,r:ignore ren Rep L+G for ^*,11438,11608.0,1,['GLC2:remark:r:ignore ren Rep L+G for _*'],7,"['e:localization induction diagram x', 'e:qc U', 'e:unitality Gamma x', 'e:unitality Loc x', 'sss:Loc crit init', 'sss:Ran subset', 'sss:unitality fam']",6126,0,GLC2:remark:r:ignore ren Rep L+G for _*,e:localization induction diagram x;e:qc U;e:unitality Gamma x;e:unitality Loc x;sss:Loc crit init;sss:Ran subset;sss:unitality fam
GLC2:proposition:p:fiber of localization,GLC2,proposition,p:fiber of localization,11608,11614.0,0,[],2,"['e:fiber of localization', 'e:from KL to out']",283,3,,e:fiber of localization;e:from KL to out
GLC2:remark:r:loc f.d,GLC2,remark,r:loc f.d,11614,11664.0,1,['GLC2:proposition:p:fiber of localization'],1,['ss:proof of fiber of localization'],1864,1,GLC2:proposition:p:fiber of localization,ss:proof of fiber of localization
GLC2:corollary:c:Loc is right-exact,GLC2,corollary,c:Loc is right-exact,11664,11691.0,0,[],1,['e:fiber of localization'],887,0,,e:fiber of localization
GLC2:corollary:auto0151@L11691,GLC2,corollary,,11691,11748.0,0,[],1,['sss:crit 1/2 can'],1868,0,,sss:crit 1/2 can
GLC2:proposition:p:Loc as dual x,GLC2,proposition,p:Loc as dual x,11748,11773.0,0,[],2,"['e:KL self-duality kappa', 'e:global duality']",1285,1,,e:KL self-duality kappa;e:global duality
GLC2:remark:auto0153@L11773,GLC2,remark,,11773,11808.0,2,"['GLC2:proposition:p:Loc as dual x', 'GLC2:remark:r:loc f.d']",1,['e:naive Loc'],1187,0,GLC2:proposition:p:Loc as dual x;GLC2:remark:r:loc f.d,e:naive Loc
GLC2:proposition:p:Loc as dual,GLC2,proposition,p:Loc as dual,11808,11955.0,0,[],12,"['e:Loc of Vac', 'e:Loc of Vac via dual', 'e:global duality', 'e:strict untl into lax unital-intro', 'e:unital functor', 's:prop Loc', 'ss:cat over Ran', 'ss:ch homology', 'ss:integrated ins', 'ss:unitality loc', 'sss:global unitality example', 'sss:inv of Gamma']",7444,3,,e:Loc of Vac;e:Loc of Vac via dual;e:global duality;e:strict untl into lax unital-intro;e:unital functor;s:prop Loc;ss:cat over Ran;ss:ch homology;ss:integrated ins;ss:unitality loc;sss:global unitality example;sss:inv of Gamma
GLC2:remark:auto0155@L11955,GLC2,remark,,11955,12415.0,2,"['GLC2:corollary:c:!-dir image ps-proper', 'GLC2:corollary:c:integration ps-proper']",20,"['e:F Z int', 'e:ins unit int Ran', 'e:ins unit int as functor', 'e:ins unit pre', 'e:insert unit Z', 'e:insert unit diag Z', 'e:lax unital nat trans', 'e:unitality transform original', 'ss:dir mage sheaf of cat', 'ss:local-to-global set up', 'sss:F recovers uF', 'sss:Ran subseteq', 'sss:Z Ran', 'sss:category of local-to-global functors', 'sss:cryst term', 'sss:ex local to global', 'sss:ins unit ass', 'sss:lax vs strict functors', 'sss:local to global functor abs', 'sss:shvs-of-cats categ']",17144,0,GLC2:corollary:c:!-dir image ps-proper;GLC2:corollary:c:integration ps-proper,e:F Z int;e:ins unit int Ran;e:ins unit int as functor;e:ins unit pre;e:insert unit Z;e:insert unit diag Z;e:lax unital nat trans;e:unitality transform original;ss:dir mage sheaf of cat;ss:local-to-global set up;sss:F recovers uF;sss:Ran subseteq;sss:Z Ran;sss:category of local-to-global functors;sss:cryst term;sss:ex local to global;sss:ins unit ass;sss:lax vs strict functors;sss:local to global functor abs;sss:shvs-of-cats categ
GLC2:remark:r:unitality qft,GLC2,remark,r:unitality qft,12415,12633.0,0,[],19,"['e:correlator F', 'e:correlator F Z', 'e:correlator F untl', 'e:forget lax unital', 'e:ins Ran int F', 'e:ins Z int F', 'e:ins of unital receives', 'e:ins unit int Ran', 'e:ins unit int as functor', 'e:ins unit int as functor untl', 'e:ins unit int as functor untl compat', 'e:insert unit diag Z', 'e:unitality transform original', 'ss:ch homology', 'ss:constr int', 'ss:local-to-global set up', 'ss:prop of int', 'sss:ins Ran int', 'sss:ins Z int']",8824,1,,e:correlator F;e:correlator F Z;e:correlator F untl;e:forget lax unital;e:ins Ran int F;e:ins Z int F;e:ins of unital receives;e:ins unit int Ran;e:ins unit int as functor;e:ins unit int as functor untl;e:ins unit int as functor untl compat;e:insert unit diag Z;e:unitality transform original;ss:ch homology;ss:constr int;ss:local-to-global set up;ss:prop of int;sss:ins Ran int;sss:ins Z int
GLC2:remark:auto0157@L12633,GLC2,remark,,12633,12759.0,0,[],13,"['e:ins unit int as functor', 'e:ins unit int as functor untl', 'e:ins unit int as functor untl compat', 'e:push-pull categorical prestacks', 'e:source target pullpush', 'e:source to target', 'ss:dir mage sheaf of cat', 'ss:unitality loc', 'sss:Ran subset', 'sss:arrows in cat prestack', 'sss:left adj lax to strict', 'sss:push-pull categorical prestacks', 'sss:pushforward sheaf of cat funct']",5818,0,,e:ins unit int as functor;e:ins unit int as functor untl;e:ins unit int as functor untl compat;e:push-pull categorical prestacks;e:source target pullpush;e:source to target;ss:dir mage sheaf of cat;ss:unitality loc;sss:Ran subset;sss:arrows in cat prestack;sss:left adj lax to strict;sss:push-pull categorical prestacks;sss:pushforward sheaf of cat funct
GLC2:lemma:l:pr small untl,GLC2,lemma,l:pr small untl,12759,12836.0,0,[],10,"['e:endo Dmod Ran', 'e:ins unit int as functor untl', 'e:ins unit untl', 'e:ins unit untl 1', 'e:pullback untl from Ran to arr', 'e:source target pullpush', 'e:source to target', 'sss:arrows in cat prestack', 'sss:functoriality integral', 'sss:proof pr small untl']",3782,2,,e:endo Dmod Ran;e:ins unit int as functor untl;e:ins unit untl;e:ins unit untl 1;e:pullback untl from Ran to arr;e:source target pullpush;e:source to target;sss:arrows in cat prestack;sss:functoriality integral;sss:proof pr small untl
GLC2:lemma:l:untl contr,GLC2,lemma,l:untl contr,12836,13152.0,4,"['GLC2:corollary:c:integration ps-proper', 'GLC2:lemma:l:int over Ran and Ran untl', 'GLC2:lemma:l:non untl to untl cofinal', 'GLC2:lemma:l:pr small untl']",20,"['e:correlator F', 'e:correlator F untl', 'e:double insert', 'e:double insert 1', 'e:double insert 2', 'e:ins unit int as functor untl', 'e:ins unit int as functor untl compat', 'e:moving between fibers', 'e:pre-unitality transform', 'e:pullback fibers', 'e:pullback on lax sections', 'e:pullback untl from Ran to arr', 'e:push-pull categorical prestacks', 'e:source target pullpush', 'e:untl vs non-untl int', 'e:untl vs nonuntl int 1', 'e:untl vs nonuntl int 2', 'ss:local-to-global set up', 'sss:ff strict functors', 'sss:proof untl contr']",14889,0,GLC2:corollary:c:integration ps-proper;GLC2:lemma:l:int over Ran and Ran untl;GLC2:lemma:l:non untl to untl cofinal;GLC2:lemma:l:pr small untl,e:correlator F;e:correlator F untl;e:double insert;e:double insert 1;e:double insert 2;e:ins unit int as functor untl;e:ins unit int as functor untl compat;e:moving between fibers;e:pre-unitality transform;e:pullback fibers;e:pullback on lax sections;e:pullback untl from Ran to arr;e:push-pull categorical prestacks;e:source target pullpush;e:untl vs non-untl int;e:untl vs nonuntl int 1;e:untl vs nonuntl int 2;ss:local-to-global set up;sss:ff strict functors;sss:proof untl contr
GLC2:definition:auto0160@L13152,GLC2,definition,,13152,13167.0,0,[],2,"['e:pre-unitality transform', 'e:pre-unitality transform again']",683,0,,e:pre-unitality transform;e:pre-unitality transform again
GLC2:definition:auto0161@L13167,GLC2,definition,,13167,13172.0,0,[],1,['e:unitality transform'],190,0,,e:unitality transform
GLC2:definition:auto0162@L13172,GLC2,definition,,13172,13205.0,0,[],3,"['e:unitality transform', 'e:unitality transform original', 'sss:verify Axiom 1 for unital']",1083,0,,e:unitality transform;e:unitality transform original;sss:verify Axiom 1 for unital
GLC2:proposition:p:unitality as a property,GLC2,proposition,p:unitality as a property,13205,13418.0,1,['GLC2:lemma:l:non untl to untl cofinal'],19,"['e:correlator F', 'e:fact hom untl expl', 'e:ins unit int as functor', 'e:insert unit Z', 'e:vac fact hom', 's:add unit colax', 'sss:A mod in A', 'sss:double insert', 'sss:fact A mod in A untl', 'sss:fact cat', 'sss:fact homology is unital', 'sss:fact mod in A untl', 'sss:ins unitality', 'sss:int untl 1', 'sss:int untl 2', 'sss:unital on oblv', 'sss:unitality as a property Take 2', 'sss:untl str on fact mod', 'sss:vacuum module']",8703,4,GLC2:lemma:l:non untl to untl cofinal,e:correlator F;e:fact hom untl expl;e:ins unit int as functor;e:insert unit Z;e:vac fact hom;s:add unit colax;sss:A mod in A;sss:double insert;sss:fact A mod in A untl;sss:fact cat;sss:fact homology is unital;sss:fact mod in A untl;sss:ins unitality;sss:int untl 1;sss:int untl 2;sss:unital on oblv;sss:unitality as a property Take 2;sss:untl str on fact mod;sss:vacuum module
GLC2:lemma:l:AB nat trans abs,GLC2,lemma,l:AB nat trans abs,13418,13487.0,0,[],4,"['e:A to B', 'e:AB nat trans abs', 'e:ins unit int as functor', 'sss:expl unitality fact homology']",3223,2,,e:A to B;e:AB nat trans abs;e:ins unit int as functor;sss:expl unitality fact homology
GLC2:corollary:c:A B lemma,GLC2,corollary,c:A B lemma,13487,13526.0,1,['GLC2:lemma:l:AB nat trans abs'],2,"['e:AB', 'e:AB nat trans abs']",1267,1,GLC2:lemma:l:AB nat trans abs,e:AB;e:AB nat trans abs
GLC2:corollary:c:A B categ,GLC2,corollary,c:A B categ,13526,13668.0,0,[],12,"['e:AB nat trans abs', 'e:ins Ran', 'e:localization induction diagram', 'e:localization oblv diagram', 'e:localization oblv sheaves', 'e:two fact categ', 'sss:F recovers uF', 'sss:fact alg from fact cat', 'sss:ins left adj', 'sss:lax unital', 'sss:local to global functor abs', 'sss:unitality loc']",5541,1,,e:AB nat trans abs;e:ins Ran;e:localization induction diagram;e:localization oblv diagram;e:localization oblv sheaves;e:two fact categ;sss:F recovers uF;sss:fact alg from fact cat;sss:ins left adj;sss:lax unital;sss:local to global functor abs;sss:unitality loc
GLC2:theorem:t:localization and oblv,GLC2,theorem,t:localization and oblv,13668,13672.0,0,[],1,['e:localization oblv sheaves int'],142,4,,e:localization oblv sheaves int
GLC2:remark:auto0168@L13672,GLC2,remark,,13672,13690.0,1,['GLC2:theorem:t:localization and oblv'],2,"['e:localization oblv sheaves', 'sss:ins Ran int']",696,0,GLC2:theorem:t:localization and oblv,e:localization oblv sheaves;sss:ins Ran int
GLC2:theorem:t:localization and oblv orig,GLC2,theorem,t:localization and oblv orig,13690,13709.0,1,['GLC2:theorem:t:localization and oblv'],5,"['e:ins unit int as functor untl compat', 'e:localization oblv diagram', 'ss:proof localization and oblv', 'sss:F recovers uF', 'sss:verify Axiom 1 for unital']",924,3,GLC2:theorem:t:localization and oblv,e:ins unit int as functor untl compat;e:localization oblv diagram;ss:proof localization and oblv;sss:F recovers uF;sss:verify Axiom 1 for unital
GLC2:corollary:c:localization and oblv,GLC2,corollary,c:localization and oblv,13709,13765.0,1,['GLC2:theorem:t:localization and oblv'],3,"['e:localization oblv diagram sub', 'sss:fact homology defn', 'sss:fact homology is unital']",2111,1,GLC2:theorem:t:localization and oblv,e:localization oblv diagram sub;sss:fact homology defn;sss:fact homology is unital
GLC2:corollary:c:localization and oblv fact hom,GLC2,corollary,c:localization and oblv fact hom,13765,13779.0,0,[],0,[],578,0,,
GLC2:corollary:c:localization and oblv fact hom int,GLC2,corollary,c:localization and oblv fact hom int,13779,13926.0,2,"['GLC2:proposition:p:fiber of localization', 'GLC2:theorem:t:localization and oblv orig']",5,"['e:KM to out', 'e:corrected O-Loc LHS', 'e:corrected O-Loc LHS 2', 'e:restr to out Lie alg', 'sss:fact alg from fact cat']",6575,0,GLC2:proposition:p:fiber of localization;GLC2:theorem:t:localization and oblv orig,e:KM to out;e:corrected O-Loc LHS;e:corrected O-Loc LHS 2;e:restr to out Lie alg;sss:fact alg from fact cat
GLC2:remark:auto0173@L13926,GLC2,remark,,13926,14078.0,1,['GLC2:proposition:p:fiber of localization'],8,"['e:Loc restr diag', 'e:Loc restr diag U', 'e:localization oblv sheaves', 'e:localization restr sheaves', 'sss:F recovers uF', 'sss:ins left adj', 'sss:localization oblv 1', 'sss:localization oblv 3']",5131,0,GLC2:proposition:p:fiber of localization,e:Loc restr diag;e:Loc restr diag U;e:localization oblv sheaves;e:localization restr sheaves;sss:F recovers uF;sss:ins left adj;sss:localization oblv 1;sss:localization oblv 3
GLC2:proposition:p:localization restr ult,GLC2,proposition,p:localization restr ult,14078,14087.0,0,[],1,['e:localization restr sheaves int'],295,2,,e:localization restr sheaves int
GLC2:proposition:p:localization restr orig,GLC2,proposition,p:localization restr orig,14087,14092.0,0,[],1,['e:Loc restr diag'],184,0,,e:Loc restr diag
GLC2:corollary:c:localization and restr,GLC2,corollary,c:localization and restr,14092,14120.0,0,[],1,['sss:fact homology defn'],900,0,,sss:fact homology defn
GLC2:corollary:c:localization and restr fact hom,GLC2,corollary,c:localization and restr fact hom,14120,14134.0,0,[],0,[],585,0,,
GLC2:corollary:c:localization and restr fact hom Int,GLC2,corollary,c:localization and restr fact hom Int,14134,14158.0,1,['GLC2:proposition:p:localization restr ult'],1,['e:localization restr sheaves int'],999,1,GLC2:proposition:p:localization restr ult,e:localization restr sheaves int
GLC2:remark:auto0179@L14158,GLC2,remark,,14158,14375.0,4,"['GLC2:corollary:c:A B categ', 'GLC2:corollary:c:localization and oblv', 'GLC2:proposition:p:localization restr ult', 'GLC2:theorem:t:localization and oblv']",8,"['e:KL unip self-dual', 'e:KM unip self-dual', 'e:localization oblv sheaves', 'e:localization oblv sheaves int', 'e:localization restr 1', 'e:localization restr sheaves', 'e:localization restr sheaves int', 'sss:duality lax untl']",8775,0,GLC2:corollary:c:A B categ;GLC2:corollary:c:localization and oblv;GLC2:proposition:p:localization restr ult;GLC2:theorem:t:localization and oblv,e:KL unip self-dual;e:KM unip self-dual;e:localization oblv sheaves;e:localization oblv sheaves int;e:localization restr 1;e:localization restr sheaves;e:localization restr sheaves int;sss:duality lax untl
GLC2:remark:r:Omega as Chev,GLC2,remark,r:Omega as Chev,14375,14520.0,1,['GLC2:proposition:p:Loc as dual'],7,"['e:BRST of Vac 0', 'e:KL unip self-dual', 'e:global sections level', 'e:unip localization', 'e:unip localization 1', 'e:unip localization 3', 's:loc']",4910,1,GLC2:proposition:p:Loc as dual,e:BRST of Vac 0;e:KL unip self-dual;e:global sections level;e:unip localization;e:unip localization 1;e:unip localization 3;s:loc
GLC2:theorem:t:unip localization,GLC2,theorem,t:unip localization,14520,14543.0,0,[],3,"['e:unip localization', 'e:unip localization LHS', 'e:unip localization RHS']",989,4,,e:unip localization;e:unip localization LHS;e:unip localization RHS
GLC2:corollary:c:unip localization,GLC2,corollary,c:unip localization,14543,14583.0,1,['GLC2:theorem:t:unip localization'],3,"['e:unip localization', 'e:unip localization LHS rewrite', 'e:unip localization RHS']",1401,0,GLC2:theorem:t:unip localization,e:unip localization;e:unip localization LHS rewrite;e:unip localization RHS
GLC2:theorem:t:unip localization chi,GLC2,theorem,t:unip localization chi,14583,14588.0,0,[],1,['e:unip localization chi'],195,0,,e:unip localization chi
GLC2:corollary:c:unip localization chi,GLC2,corollary,c:unip localization chi,14588,14752.0,2,"['GLC2:remark:r:Omega as Chev', 'GLC2:theorem:t:unip localization']",6,"['e:Loc of Vac via dual', 'e:chev as limit', 'e:compl of ch hom Omega', 'e:glob funct BunN', 'sss:ch homology Omega ab', 'sss:vac fact hom']",6410,0,GLC2:remark:r:Omega as Chev;GLC2:theorem:t:unip localization,e:Loc of Vac via dual;e:chev as limit;e:compl of ch hom Omega;e:glob funct BunN;sss:ch homology Omega ab;sss:vac fact hom
GLC2:remark:auto0185@L14752,GLC2,remark,,14752,14795.0,0,[],5,"['e:arcs as fact', 'e:fact hom A on Ran', 'e:glob funct BunN', 'e:glob funct sect', 'sss:com fact vs Dmod com']",1499,0,,e:arcs as fact;e:fact hom A on Ran;e:glob funct BunN;e:glob funct sect;sss:com fact vs Dmod com
GLC2:remark:auto0186@L14795,GLC2,remark,,14795,14925.0,2,"['GLC2:corollary:c:ch homology as left adj', 'GLC2:proposition:p:hor sect']",8,"[""e:Maps into Bun N'"", 'e:express sect', 'e:express sect 1', 'e:express sect 2', 'e:functions on fake Spec', 'e:glob funct sect', 'sss:as good as affine', 'sss:ch homology Omega ab']",4819,0,GLC2:corollary:c:ch homology as left adj;GLC2:proposition:p:hor sect,e:Maps into Bun N';e:express sect;e:express sect 1;e:express sect 2;e:functions on fake Spec;e:glob funct sect;sss:as good as affine;sss:ch homology Omega ab
GLC2:lemma:auto0187@L14925,GLC2,lemma,,14925,15057.0,2,"['GLC2:lemma:l:rel fact homology', 'GLC2:theorem:t:unip localization']",2,"['e:twisted Bun N', 'sss:vector group']",4620,0,GLC2:lemma:l:rel fact homology;GLC2:theorem:t:unip localization,e:twisted Bun N;sss:vector group
GLC2:theorem:t:int loc over BunN kappa,GLC2,theorem,t:int loc over BunN kappa,15057,15135.0,3,"['GLC2:corollary:c:A B lemma', 'GLC2:corollary:c:localization and restr fact hom Int', 'GLC2:theorem:t:unip localization']",2,"['sss:BRST twisted by char', ""sss:l N' line""]",3515,0,GLC2:corollary:c:A B lemma;GLC2:corollary:c:localization and restr fact hom Int;GLC2:theorem:t:unip localization,sss:BRST twisted by char;sss:l N' line
GLC2:theorem:t:int loc over BunN kappa chi,GLC2,theorem,t:int loc over BunN kappa chi,15135,15682.0,3,"['GLC2:remark:r:ignore ren Rep L+G for _*', 'GLC2:theorem:t:Loc is loc', 'GLC2:theorem:t:localization and oblv orig']",20,"['e:Dmod to glob inf Hecke equiv', 'e:Dmod to local inf Hecke equiv', 'e:Hecke to inf', 'e:diag two monads', 'e:global inf Hecke equiv to local inf Hecke equiv U', 'e:loc vs global monad', 'e:loc vs global monad U', 'e:loc vs inf monad', 'e:loc vs inf monad via Loc 1', 'e:loc vs inf monad via Loc 2', 'e:loc vs inf monad via Loc 3', 'e:loc vs inf monad via Loc 4', 'e:localization induction diagram Ran', 'e:log glob Hecke diagram compl U', 'sss:KL via local inf Hecke', 'sss:alt Gamma U', 'sss:from KM to inf Hecke U', 'sss:inf Hecke to inf', 'sss:mult line bundle local', 'sss:replace monad diagram']",22914,2,GLC2:remark:r:ignore ren Rep L+G for _*;GLC2:theorem:t:Loc is loc;GLC2:theorem:t:localization and oblv orig,e:Dmod to glob inf Hecke equiv;e:Dmod to local inf Hecke equiv;e:Hecke to inf;e:diag two monads;e:global inf Hecke equiv to local inf Hecke equiv U;e:loc vs global monad;e:loc vs global monad U;e:loc vs inf monad;e:loc vs inf monad via Loc 1;e:loc vs inf monad via Loc 2;e:loc vs inf monad via Loc 3;e:loc vs inf monad via Loc 4;e:localization induction diagram Ran;e:log glob Hecke diagram compl U;sss:KL via local inf Hecke;sss:alt Gamma U;sss:from KM to inf Hecke U;sss:inf Hecke to inf;sss:mult line bundle local;sss:replace monad diagram
GLC2:theorem:t:Nick monad,GLC2,theorem,t:Nick monad,15682,15723.0,1,['GLC2:theorem:t:localization and oblv orig'],0,[],1517,0,GLC2:theorem:t:localization and oblv orig,
GLC2:theorem:t:Loc is loc,GLC2,theorem,t:Loc is loc,15723,15746.0,1,['GLC2:theorem:t:Loc is loc QCoh'],0,[],861,4,GLC2:theorem:t:Loc is loc QCoh,
GLC2:theorem:t:Loc is loc QCoh,GLC2,theorem,t:Loc is loc QCoh,15746,15788.0,0,[],0,[],1303,4,,
GLC2:lemma:l:loc crit,GLC2,lemma,l:loc crit,15788,15910.0,2,"['GLC2:theorem:t:Loc is loc', 'GLC2:theorem:t:Loc is loc QCoh']",10,"['e:Dmod to glob inf Hecke equiv U', 'e:Gamma U', 'e:Loc diag', 'e:Rep GO self-dual', 'e:Rep GO self-dual Ran', 'e:global inf Hecke equiv to local inf Hecke equiv U', 'e:unit to unit cat', 'ss:Loc is loc 1', 'ss:Loc is loc 2', 'sss:almost unital']",4398,1,GLC2:theorem:t:Loc is loc;GLC2:theorem:t:Loc is loc QCoh,e:Dmod to glob inf Hecke equiv U;e:Gamma U;e:Loc diag;e:Rep GO self-dual;e:Rep GO self-dual Ran;e:global inf Hecke equiv to local inf Hecke equiv U;e:unit to unit cat;ss:Loc is loc 1;ss:Loc is loc 2;sss:almost unital
GLC2:remark:auto0194@L15910,GLC2,remark,,15910,16107.0,5,"['GLC2:lemma:l:loc crit', 'GLC2:proposition:p:Loc as dual', 'GLC2:theorem:t:Loc is loc', 'GLC2:theorem:t:Loc is loc QCoh', 'GLC2:theorem:t:Nick 1']",13,"['e:Dmod to glob inf Hecke equiv U', 'e:Gamma U', 'e:Gamma overkill', 'e:param Loc QCoh', 'e:partial equiv', 'e:restr big small groupoids', 'e:restr groupoids 1', 'e:restr groupoids 2', 'e:tw can bundle', 'e:unit to unit KL U', 'e:unit to unit cat', 'sss:KL self-duality kappa', 'sss:almost unital']",9090,0,GLC2:lemma:l:loc crit;GLC2:proposition:p:Loc as dual;GLC2:theorem:t:Loc is loc;GLC2:theorem:t:Loc is loc QCoh;GLC2:theorem:t:Nick 1,e:Dmod to glob inf Hecke equiv U;e:Gamma U;e:Gamma overkill;e:param Loc QCoh;e:partial equiv;e:restr big small groupoids;e:restr groupoids 1;e:restr groupoids 2;e:tw can bundle;e:unit to unit KL U;e:unit to unit cat;sss:KL self-duality kappa;sss:almost unital
GLC2:remark:e:unit to unit KL BunG,GLC2,remark,e:unit to unit KL BunG,16107,16132.0,0,[],2,"['e:unit to unit KL U', 'e:unit to unit cat']",944,0,,e:unit to unit KL U;e:unit to unit cat
GLC2:remark:auto0196@L16132,GLC2,remark,,16132,16341.0,6,"['GLC2:corollary:c:two pairings coarse', 'GLC2:lemma:l:AB nat trans abs', 'GLC2:proposition:p:Loc as dual', 'GLC2:theorem:t:Loc is loc', 'GLC2:theorem:t:Loc is loc QCoh', 'GLC2:theorem:t:int loc over BunN kappa chi']",8,"['e:Loc diag', 'e:Loc isom to prove', 'e:left induce', 'e:left induce again', 'e:localization oblv sheaves int', 'e:right forget', 'e:right forget again', 's:Langlands functor']",9354,0,GLC2:corollary:c:two pairings coarse;GLC2:lemma:l:AB nat trans abs;GLC2:proposition:p:Loc as dual;GLC2:theorem:t:Loc is loc;GLC2:theorem:t:Loc is loc QCoh;GLC2:theorem:t:int loc over BunN kappa chi,e:Loc diag;e:Loc isom to prove;e:left induce;e:left induce again;e:localization oblv sheaves int;e:right forget;e:right forget again;s:Langlands functor
GLC2:theorem:t:vac coeff of Loc prel,GLC2,theorem,t:vac coeff of Loc prel,16341,16389.0,0,[],2,"['e:1/2 vs crit', 'e:tw pullback to BunN diag rho omega']",1885,0,,e:1/2 vs crit;e:tw pullback to BunN diag rho omega
GLC2:theorem:t:vac coeff of Loc,GLC2,theorem,t:vac coeff of Loc,16389,16444.0,0,[],1,['sss:local pairing G'],2682,1,,sss:local pairing G
GLC2:theorem:t:Loc and coeff,GLC2,theorem,t:Loc and coeff,16444,16462.0,0,[],1,['e:Loc and coeff pairing'],1076,4,,e:Loc and coeff pairing
GLC2:remark:r:simplify Loc and coeff,GLC2,remark,r:simplify Loc and coeff,16462,16872.0,2,"['GLC2:theorem:t:Loc and coeff', 'GLC2:theorem:t:vac coeff of Loc']",21,"['e:Loc and coeff pairing 1', 'e:Loc and coeff pairing 1.5', 'e:Loc and coeff pairing 1.75', 'e:Loc and coeff pairing 3', 'e:Loc and coeff pairing 3.5', 'e:Loc and coeff pairing 5.5', 'e:Loc and coeff pairing 5.75', 'e:Loc and coeff pairing 6.5', 'e:Loc and coeff pairing 6.75', 'e:Loc and coeff pairing 7', 'e:Loc and coeff pairing 8', 'e:Loc and coeff pairing 9', 'e:loc-to-glob base change opers', 'ss:z on KL', 'sss:LS open curve', 'sss:QCoh co fact', 'sss:almost unital', 'sss:cristalline obj', 'sss:expl unitality fact homology', 'sss:spec loc', 'sss:unital spaces']",20168,1,GLC2:theorem:t:Loc and coeff;GLC2:theorem:t:vac coeff of Loc,e:Loc and coeff pairing 1;e:Loc and coeff pairing 1.5;e:Loc and coeff pairing 1.75;e:Loc and coeff pairing 3;e:Loc and coeff pairing 3.5;e:Loc and coeff pairing 5.5;e:Loc and coeff pairing 5.75;e:Loc and coeff pairing 6.5;e:Loc and coeff pairing 6.75;e:Loc and coeff pairing 7;e:Loc and coeff pairing 8;e:Loc and coeff pairing 9;e:loc-to-glob base change opers;ss:z on KL;sss:LS open curve;sss:QCoh co fact;sss:almost unital;sss:cristalline obj;sss:expl unitality fact homology;sss:spec loc;sss:unital spaces
GLC2:theorem:t:Hecke crit Loc,GLC2,theorem,t:Hecke crit Loc,16872,16897.0,0,[],1,['e:loc-to-glob base change opers'],970,5,,e:loc-to-glob base change opers
GLC2:remark:r:Hecke at x,GLC2,remark,r:Hecke at x,16897,16927.0,4,"['GLC2:corollary:c:Hecke crit Loc ult', 'GLC2:proposition:p:Hecke crit Loc', 'GLC2:theorem:t:Hecke crit Loc', 'GLC2:theorem:t:ins vac reg']",0,[],1126,1,GLC2:corollary:c:Hecke crit Loc ult;GLC2:proposition:p:Hecke crit Loc;GLC2:theorem:t:Hecke crit Loc;GLC2:theorem:t:ins vac reg,
GLC2:remark:auto0203@L16927,GLC2,remark,,16927,17010.0,0,[],2,"['sss:fact spaces', 'sss:unital on mf']",3290,0,,sss:fact spaces;sss:unital on mf
GLC2:theorem:t:ins vac reg,GLC2,theorem,t:ins vac reg,17010,17043.0,0,[],1,['s:ins vac reg'],1309,9,,s:ins vac reg
GLC2:remark:auto0205@L17043,GLC2,remark,,17043,17092.0,2,"['GLC2:theorem:t:Hecke crit Loc', 'GLC2:theorem:t:ins vac reg']",0,[],2007,0,GLC2:theorem:t:Hecke crit Loc;GLC2:theorem:t:ins vac reg,
GLC2:remark:auto0206@L17092,GLC2,remark,,17092,17113.0,1,['GLC2:theorem:t:ins vac reg'],1,['e:ins vac reg mf'],1033,0,GLC2:theorem:t:ins vac reg,e:ins vac reg mf
GLC2:remark:r:grpd acts on KL,GLC2,remark,r:grpd acts on KL,17113,17240.0,3,"['GLC2:remark:r:Hecke at x', 'GLC2:theorem:t:Hecke crit Loc', 'GLC2:theorem:t:ins vac reg']",4,"['e:adding poles KL', 'e:adding poles to the global oper', 'e:groupoid squig', 'ss:untl in corr']",6069,1,GLC2:remark:r:Hecke at x;GLC2:theorem:t:Hecke crit Loc;GLC2:theorem:t:ins vac reg,e:adding poles KL;e:adding poles to the global oper;e:groupoid squig;ss:untl in corr
GLC2:proposition:p:Hecke crit Loc,GLC2,proposition,p:Hecke crit Loc,17240,17270.0,0,[],2,"['e:Loc Op added', 'sss:action Rep subset']",1305,3,,e:Loc Op added;sss:action Rep subset
GLC2:lemma:l:ten prod glob mixed Op,GLC2,lemma,l:ten prod glob mixed Op,17270,17323.0,0,[],2,"['e:KL subset', 'ss:base change mf']",2699,0,,e:KL subset;ss:base change mf
GLC2:remark:r:unital for KL Op,GLC2,remark,r:unital for KL Op,17323,17361.0,1,['GLC2:remark:r:grpd acts on KL'],3,"['e:KL Op glob', 'e:unital for KL Op', 'sss:unitality loc']",1793,1,GLC2:remark:r:grpd acts on KL,e:KL Op glob;e:unital for KL Op;sss:unitality loc
